IDRecord;Master;ClientName;ClientPhone;Date;Status;Service;User;discount
1;1;Анна Смирнова;+79161234567;07/01/2026 10:00:00;2;1;1;False
2;2;Мария Иванова;+79162345678;07/01/2026 11:00:00;2;4;1;False
3;3;Елена Петрова;+79163456789;07/02/2026 09:00:00;2;5;1;True
4;4;Ольга Сидорова;+79164567890;07/02/2026 10:00:00;2;2;1;False
5;5;Татьяна Козлова;+79165678901;07/02/2026 11:00:00;2;8;1;False
6;1;Светлана Новикова;+79166789012;07/03/2026 10:00:00;2;3;1;False
7;2;Наталья Федорова;+79167890123;07/03/2026 11:00:00;2;6;1;True
8;3;Ирина Морозова;+79168901234;07/03/2026 12:00:00;2;1;1;False
9;4;Юлия Волкова;+79169012345;07/04/2026 09:00:00;2;7;1;False
10;5;Екатерина Алексеева;+79160123456;07/04/2026 10:00:00;2;4;1;False
11;1;Александра Лебедева;+79161234567;07/05/2026 11:00:00;2;2;1;False
12;2;Валентина Семенова;+79162345678;07/05/2026 12:00:00;2;5;1;True
13;3;Галина Егорова;+79163456789;07/06/2026 09:00:00;2;8;1;False
14;4;Лариса Павлова;+79164567890;07/06/2026 10:00:00;2;1;1;False
15;5;Инна Козлова;+79165678901;07/06/2026 11:00:00;2;3;1;False
16;1;Вера Степанова;+79166789012;07/07/2026 10:00:00;2;6;1;False
17;2;Римма Николаева;+79167890123;07/07/2026 11:00:00;2;2;1;True
18;3;Диана Орлова;+79168901234;07/07/2026 12:00:00;2;4;1;False
19;4;Эльвира Андреева;+79169012345;07/08/2026 09:00:00;2;7;1;False
20;5;Ксения Макарова;+79160123456;07/08/2026 10:00:00;2;1;1;False
21;1;Жанна Никитина;+79161234567;06/01/2026 10:00:00;2;5;1;False
22;2;Регина Захарова;+79162345678;06/01/2026 11:00:00;2;8;1;False
23;3;Алиса Зайцева;+79163456789;06/02/2026 09:00:00;2;2;1;True
24;4;Карина Соловьева;+79164567890;06/02/2026 10:00:00;2;4;1;False
25;5;Лидия Борисова;+79165678901;06/02/2026 11:00:00;2;6;1;False
26;1;Ульяна Яковлева;+79166789012;06/03/2026 10:00:00;2;1;1;False
27;2;Эмма Григорьева;+79167890123;06/03/2026 11:00:00;2;3;1;True
28;3;Яна Романова;+79168901234;06/03/2026 12:00:00;2;5;1;False
29;4;Нелли Воробьева;+79169012345;06/04/2026 09:00:00;2;8;1;False
30;5;Маргарита Сергеева;+79160123456;06/04/2026 10:00:00;2;2;1;False
31;1;Клавдия Кузьмина;+79161234567;06/05/2026 11:00:00;2;4;1;False
32;2;Роза Фомина;+79162345678;06/05/2026 12:00:00;2;7;1;True
33;3;Нонна Данилова;+79163456789;06/06/2026 09:00:00;2;1;1;False
34;4;Зинаида Жукова;+79164567890;06/06/2026 10:00:00;2;3;1;False
35;5;Инесса Назарова;+79165678901;06/06/2026 11:00:00;2;6;1;False
36;1;Раиса Ковалева;+79166789012;06/07/2026 10:00:00;2;5;1;False
37;2;Агата Ильина;+79167890123;06/07/2026 11:00:00;2;2;1;True
38;3;Богдана Максимова;+79168901234;06/07/2026 12:00:00;2;8;1;False
39;4;Виктория Филиппова;+79169012345;06/08/2026 09:00:00;2;1;1;False
40;5;Арина Владимирова;+79160123456;06/08/2026 10:00:00;2;4;1;False
41;1;Любовь Титова;+79161234567;06/09/2026 11:00:00;2;7;1;False
42;2;Алла Маркова;+79162345678;06/09/2026 12:00:00;2;3;1;True
43;3;София Белова;+79163456789;06/10/2026 09:00:00;2;5;1;False
